-17.7071	8.192245
-17.1213	13.9997
-16.5355	16.84638
-15.9497	18.6626
-15.3639	19.75342
-14.7781	20.41649
-14.1923	20.83649
-13.6065	21.11788
-13.0207	21.32552
-12.4349	21.5043
-11.8491	21.67688
-11.2633	21.8629
-10.6775	22.08178
-10.0917	22.35165
-9.5059	    22.75889
-9.115367	22.90282
-8.9201	    23.20023
-8.724833	23.30626
-8.529567	23.36635
-8.3343	    23.41455
-8.139033	23.46412
-7.943767	23.51956
-7.7485	    23.58739
-7.553233	23.65875
-7.357967	23.72501
-7.1627	    23.79573
-6.967433	23.85142
-6.772167	23.9317
-6.5769	    24.07476
-6.381633	23.59332
-6.273074	24.36067
-6.229847	24.95997
-6.145281	26.80573
-6.023074	28.78527
-5.868565	30.6171
-5.688508	32.18104
-5.490773	33.43852
-5.284	    34.43496
-5.077227	35.25066
-4.879492	35.9321
-4.699435	36.47056
-4.544926	36.93591
-4.422719	37.80893
-4.338153	39.54761
-4.294926	45.54036
-4.1412	    38.79931
-3.8556	    32.56441
-3.57	    30.99016
-3.2844	    30.07709
-2.9988	    29.45057
-2.7132	    29.00457
-2.4276	    28.69108
-2.142	    28.48192
-1.8564	    28.35469
-1.5708	    28.30478
-1.2852	    28.32176
-0.9996	    28.39679
-0.714	    28.52593
-0.4284	    28.72128
-0.1428	    29.77666
0.1428	    29.77666
0.4284	    28.72128
0.714	    28.52593
0.9996	    28.39679
1.2852	    28.32176
1.5708	    28.30478
1.8564	    28.35469
2.142	    28.48192
2.4276	    28.69108
2.7132	    29.00457
2.9988	    29.45057
3.2844	    30.07709
3.57	    30.99016
3.8556	    32.56441
4.1412	    38.79931
4.294926	45.54036
4.338153	39.54761
4.422719	37.80893
4.544926	36.93591
4.699435	36.47056
4.879492	35.9321
5.077227	35.25066
5.284	    34.43496
5.490773	33.43852
5.688508	32.18104
5.868565	30.6171
6.023074	28.78527
6.145281	26.80573
6.229847	24.95997
6.273074	24.36067
6.381633	23.59332
6.576900    24.07476
6.772167	23.9317
6.967433	23.85142
7.162700	23.79573
7.357967	23.72501
7.553233	23.65875
7.748500	23.58739
7.943767	23.51956
8.139033	23.46412
8.334300	23.41455
8.529567	23.36635
8.724833	23.30626
8.920100	23.20023
9.115367	22.90282
9.505900	22.75889
10.091700	22.35165
10.677500	22.08178
11.263300	21.8629
11.849100	21.67688
12.434900	21.5043
13.020700	21.32552
13.606500	21.11788
14.192300	20.83649
14.778100	20.41649
15.363900	19.75342
15.949700	18.6626
16.535500	16.84638
17.121300	13.9997
17.707100	8.192245


